width,depth,activation,seed,param_count,best_relL2_mean,last_relL2_mean
20,4,tanh,123,5840,0.9958475232124329,0.9958475232124329
20,6,tanh,123,7520,1.0937411785125732,1.0937411785125732
30,4,tanh,123,9910,0.8667399287223816,0.8667399287223816
30,6,tanh,123,13630,0.8284690380096436,0.8284690380096436
40,4,tanh,123,14780,0.7156013250350952,0.7156013250350952
40,6,tanh,123,21340,0.7407820820808411,0.7407820820808411
50,4,tanh,123,20450,0.9178500771522522,0.9178500771522522
50,6,tanh,123,30650,0.6650312542915344,0.6650312542915344
